college,PTS,TS_PCT,EFG_PCT,AST_TOV,DEF_IMPACT,REB,OVERALL_SCORE
Texas,0.5519718046618428,0.9746408231038233,0.9897616616394298,0.24006252984116483,1.0,1.0,0.8345989738090381
Kentucky,0.9663764091574482,0.881185481469833,0.86103571498543,0.46257977848761656,0.7881050041017228,0.7904894102897059,0.7868975034901557
Villanova,0.8793821589725789,0.9115149329215972,0.9067570266214284,0.9054190353933615,0.6316037735849056,0.4897871610024031,0.7805274599595078
Michigan State,0.8515793127386323,0.8522369144562996,0.8654292330836444,0.48292682926829267,0.7407547169811319,0.8006179196704428,0.7601469305792976
UCLA,0.3934295689813585,0.674972733254807,0.7104986717118027,0.804871429972055,0.901775804661487,0.5827830617313867,0.7304540663732606
Miami,0.47691773689691086,0.8042120920379903,0.8151272480032083,0.7606195435614753,0.7358490566037736,0.5756951596292482,0.7232204437760487
California,0.9999999999999999,0.8653880703954024,0.9006076549213673,0.23988181856359458,0.621383647798742,0.6604874699622383,0.6966148764376712
Duke,0.658104824713641,0.8958052875342275,0.8977890148126086,0.32075347772816554,0.5396226415094341,0.8122210779265363,0.6708618141048096
Indiana,0.47885158922993,1.0,1.0,0.4890457058071217,0.38544474393531,0.6560247167868178,0.652477909653336
Virginia,0.6189815044379431,0.7750026080048007,0.7751420884064686,0.821343428257054,0.36442048517520215,0.46572017066352805,0.6122696621631963
Missouri,0.9234293648038875,0.7754158768659416,0.7776406655906012,0.4486033951449644,0.3728301886792453,0.4511843460350155,0.5883302121711871
St. Joseph's (PA),0.2644914960083304,0.7410615018967059,0.7856725800517452,0.42618382397888566,0.6377358490566039,0.4038791623755579,0.5881485815393058
West Virginia,0.24054147865324538,0.7264730420927503,0.7915667542408908,1.0000000000000002,0.33113207547169815,0.2320631651218675,0.5606297085737045
Washington,0.3530024297119055,0.6929796627824039,0.7222578853270745,0.14056482670089865,0.6254716981132076,0.6448678338482664,0.5554478751506561
Oregon,0.20078255656179983,0.7390291121192842,0.7742994105918728,0.6208759148425388,0.33670668953687816,0.4272071903379834,0.5208931027900603
Ohio State,0.2676154113155154,0.7950002474686626,0.813247757425551,0.49550706033376124,0.31886792452830187,0.379334019910745,0.515668592638746
Florida State,0.5071155848663658,0.7524077391563797,0.7947573059033104,0.5541347826328572,0.15330188679245282,0.35144181256436663,0.4846616668925102
North Carolina,0.16348490107601527,0.9005437439907715,0.9054354167317507,0.09781771501925551,0.2084905660377359,0.464126330243735,0.455905011504101
Southern Methodist,0.20305449496702532,0.5303685609990407,0.5851844137215751,0.3835686777920412,0.18396226415094336,0.4172674219018195,0.3686075468590181
Vanderbilt,0.14057618882332523,0.7157022504545183,0.69965493646858,0.27043217800599073,0.0,0.151733607964298,0.3178844969408516
College of Charleston,0.0,0.0,0.0,0.0,0.049056603773584895,0.0,0.014716981132075467
